                              outcome  huskies_mean_attack  huskies_std_attack  oppo_mean_attack  oppo_std_attack  huskies_activity_index_mean  huskies_activity_index_std  oppo_activity_index_mean  oppo_activity_index_std  huskies_mean_defense  huskies_std_defense  oppo_mean_defense  oppo_std_defense  huskies_mean_collaborate  huskies_std_collaborate  oppo_mean_collaborate  oppo_std_collaborate  huskies_mean_foul  huskies_std_foul  oppo_mean_foul  oppo_std_foul
outcome                      1.000000  0.249264             0.101898            0.173016          0.303478        -0.449446                     0.101082                   -0.095485                  0.183276                 0.160025              0.192253            -0.004314           0.054213          0.159026                  0.051765                -0.392434              -0.467750              0.215291           0.357808         -0.198327       -0.166137     
huskies_mean_attack          0.249264  1.000000             0.786410            0.311303          0.410876        -0.335157                    -0.087865                   -0.325090                  0.174527                 0.016086              0.151329             0.522924           0.453988          0.327060                  0.085020                -0.684211              -0.691213              0.159217           0.174527          0.253433        0.174089     
huskies_std_attack           0.101898  0.786410             1.000000            0.272787          0.316993        -0.017617                     0.046285                   -0.041689                 -0.046942                 0.189856              0.317212             0.242587           0.250684         -0.017836                 -0.119160                -0.287449              -0.309990              0.237129           0.165117          0.096077        0.062479     
oppo_mean_attack             0.173016  0.311303             0.272787            1.000000          0.862348        -0.297297                     0.292702                   -0.314367                 -0.179998                 0.609290              0.594485            -0.114783          -0.093117         -0.014115                  0.035124                -0.093993              -0.277601              0.474038           0.462523         -0.265361       -0.258781     
oppo_std_attack              0.303478  0.410876             0.316993            0.862348          1.000000        -0.344567                     0.192034                   -0.262501                 -0.169931                 0.475461              0.515264            -0.012365           0.050224          0.106248                  0.113032                -0.220265              -0.352008              0.387919           0.449174         -0.236581       -0.214794     
huskies_activity_index_mean -0.449446 -0.335157            -0.017617           -0.297297         -0.344567         1.000000                    -0.139950                    0.597987                 -0.305394                -0.232752             -0.063136            -0.363825          -0.331874         -0.364482                 -0.234490                 0.424882               0.511982             -0.081852          -0.312397         -0.180336       -0.138855     
huskies_activity_index_std   0.101082 -0.087865             0.046285            0.292702          0.192034        -0.139950                     1.000000                   -0.207572                  0.058759                 0.448980              0.247620            -0.129445          -0.189627          0.046066                  0.075391                -0.038407              -0.107561              0.587296           0.492942          0.009520        0.049130     
oppo_activity_index_mean    -0.095485 -0.325090            -0.041689           -0.314367         -0.262501         0.597987                    -0.207572                    1.000000                 -0.209323                -0.071347             -0.022212            -0.467775          -0.369953         -0.536273                 -0.276070                 0.395120               0.504103             -0.105488          -0.212605         -0.077803       -0.072327     
oppo_activity_index_std      0.183276  0.174527            -0.046942           -0.179998         -0.169931        -0.305394                     0.058759                   -0.209323                  1.000000                -0.082399             -0.086552             0.587045           0.351133          0.372360                  0.343254                -0.486815              -0.321808              0.015539           0.105154          0.508399        0.251122     
huskies_mean_defense         0.160025  0.016086             0.189856            0.609290          0.475461        -0.232752                     0.448980                   -0.071347                 -0.082399                 1.000000              0.871259            -0.295672          -0.272692         -0.102533                  0.020572                 0.069596              -0.079663              0.613373           0.560705         -0.126724       -0.101111     
huskies_std_defense          0.192253  0.151329             0.317212            0.594485          0.515264        -0.063136                     0.247620                   -0.022212                 -0.086552                 0.871259              1.000000            -0.185907          -0.137980         -0.098370                 -0.013896                 0.008863              -0.105154              0.540570           0.495131         -0.192920       -0.179779     
oppo_mean_defense           -0.004314  0.522924             0.242587           -0.114783         -0.012365        -0.363825                    -0.129445                   -0.467775                  0.587045                -0.295672             -0.185907             1.000000           0.879418          0.515483                  0.204727                -0.495568              -0.357479             -0.113476          -0.024182          0.469442        0.319182     
oppo_std_defense             0.054213  0.453988             0.250684           -0.093117          0.050224        -0.331874                    -0.189627                   -0.369953                  0.351133                -0.272692             -0.137980             0.879418           1.000000          0.334500                  0.040376                -0.311741              -0.205821             -0.049570           0.076923          0.280243        0.147828     
